RETCAP   WCFTCL   WCFTDT   GEARRAT   LOGSALE   LOGASST  NFATAST   CAPINT   FATTOT   INVTAST   PAYOUT   QUIKRAT   CURRAT
0.19    0.16    0.16    0.15    5.2297    4.8375    0.28    2.47    0.36    0.42    0.31    0.54    1.33
0.22    0.26    0.16    0.54    4.1495    4.3402    0.13    0.64    0.16    0.04    0.45    0.83    0.93
0.17    0.26    0.20    0.49    5.3831    4.8811    0.43    3.18    0.74    0.13    0.50    0.84    1.09
0.12    0.08    0.08    0.39    4.1225    3.9333    0.23    1.55    0.50    0.37    0.65    0.50    1.09
0.21    0.34    0.34    0.11    4.7795    4.5877    0.30    1.56    0.50    0.20    0.25    1.10    1.74
0.12    0.25    0.25    0.19    4.1503    3.9086    0.34    1.74    0.38    0.31    0.80    1.00    1.89
0.15    0.25    0.16    0.35    5.6998    5.5577    0.48    1.39    0.62    0.22    0.46    0.73    1.38
0.10    0.12    0.09    0.39    4.4162    4.2128    0.26    1.60    0.42    0.30    1.03    0.94    1.57
0.08    0.04    0.04    0.50    4.7108    4.5126    0.25    1.58    0.33    0.31    0.00    0.74    1.28
0.31    0.12    0.11    0.41    4.4678    4.1928    0.17    1.88    0.25    0.31    0.25    0.66    1.10
0.21    0.36    0.33    0.08    4.3899    4.2336    0.40    1.43    0.71    0.17    0.61    1.06    1.49
0.22    0.37    0.37    0.16    4.0253    3.8344    0.42    1.55    0.62    0.17    0.25    0.97    1.38
0.20    0.48    0.48    0.13    3.8573    3.8764    0.68    0.96    0.97    0.13    0.60    0.61    1.00
0.11    0.18    0.15    0.23    3.9068    3.8685    0.40    1.09    0.64    0.15    0.80    0.92    1.23
0.38    0.25    0.20    0.27    5.1631    4.6669    0.21    3.13    0.32    0.38    0.39    0.33    1.39
0.23    0.24    0.24    0.00    5.7130    4.9772    0.27    5.44    0.38    0.50    0.36    0.24    1.29
0.32    0.09    0.09    0.11    4.7114    4.3123    0.09    2.51    0.13    0.31    0.53    0.86    1.34
0.13    0.06    0.05    0.55    4.6763    4.4972    0.24    1.51    0.40    0.42    0.00    0.44    1.14
0.29    0.60    0.60    0.00    4.5233    4.8709    0.57    0.45    0.58    0.01    0.21    1.18    1.21
0.09    0.10    0.09    0.28    4.9876    4.4058    0.34    3.82    0.50    0.46    1.52    0.34    1.28
0.17    0.12    0.11    0.28    4.2837    3.9679    0.26    2.07    0.32    0.37    0.22    0.67    1.36
-0.04    -0.04    -0.04    0.46    4.7616    4.3153    0.19    2.79    0.32    0.28    0.00    0.72    1.11
0.26    0.23    0.23    0.00    4.2468    3.8779    0.21    2.34    0.26    0.27    0.53    1.20    1.83
0.21    0.40    0.30    0.20    4.4106    4.3829    0.24    1.07    0.36    0.24    0.42    1.77    2.72
0.15    0.30    0.21    0.66    4.3984    4.3634    0.70    1.08    1.07    0.15    0.00    0.29    0.58
0.23    0.07    0.07    0.11    4.8314    4.4399    0.17    2.46    0.22    0.00    0.67    0.88    0.88
0.20    0.33    0.28    0.33    4.2050    4.0364    0.53    1.47    1.16    0.07    0.21    0.77    0.91
0.19    0.16    0.14    0.30    4.3139    4.1727    0.25    1.38    0.33    0.42    0.52    0.49    1.28
0.08    0.18    0.10    0.35    4.9510    4.8675    0.31    1.21    0.51    0.27    1.08    1.44    2.36
0.19    0.15    0.14    0.19    5.5754    5.4405    0.22    1.36    0.36    0.22    0.40    0.96    1.35
0.20    0.63    0.35    0.21    4.7722    4.8638    0.21    0.81    0.34    0.26    0.51    2.63    3.98
0.14    0.27    0.20    0.30    4.9993    4.8282    0.72    1.48    0.74    0.09    0.53    0.26    0.54
0.04    0.07    0.07    0.18    4.1786    3.9151    0.28    1.83    0.54    0.23    4.21    1.08    1.57
0.10    0.15    0.12    0.13    5.7613    5.7801    0.12    0.96    0.21    0.28    0.43    0.57    1.40
0.10    0.18    0.14    0.23    5.6884    5.6334    0.33    1.14    0.52    0.23    0.12    0.83    1.56
0.20    0.13    0.12    0.05    4.7908    4.4200    0.04    2.35    0.07    0.37    0.33    0.80    1.42
0.13    0.17    0.13    0.22    5.4876    5.3501    0.26    1.37    0.52    0.41    0.53    0.75    1.73
0.08    0.14    0.14    0.19    4.0800    3.8700    0.17    1.64    0.27    0.34    0.91    0.74    1.57
-0.09    -0.46    -0.22    0.68    3.9671    4.0802    0.62    0.77    0.71    0.19    0.00    0.60    1.45
-0.50    -1.28    -1.28    1.78    4.0554    3.5485    0.16    3.21    0.30    0.37    0.00    0.50    1.06
